id,x,y,disease,severity,temperature,humidity,moisture,ph,priority_score
plant-51,2,5,early_blight,0.785,19.57,60.94,56.96,7.12,0.785
plant-52,37,33,mold,0.886,17.28,73.78,48.28,7.41,0.886
plant-53,10,14,early_blight,0.997,15.79,66.26,5.26,6.6,1.0
plant-54,36,32,mold,0.275,31.97,78.18,33.51,6.19,0.275
plant-55,44,31,healthy,0.0,23.92,58.32,39.59,6.05,0.0
plant-56,36,14,healthy,0.0,15.86,69.72,34.55,7.74,0.0
plant-57,9,13,mold,0.994,15.92,65.85,21.33,7.82,1.0
plant-58,25,42,healthy,0.0,15.02,79.44,7.2,5.81,0.0
plant-59,9,3,early_blight,0.422,17.09,63.14,12.23,6.15,0.672
plant-60,18,10,early_blight,0.764,35.38,38.88,45.43,7.04,0.764
plant-61,45,42,nutrient_deficiency,0.977,36.15,59.78,19.88,7.35,1.0
plant-62,37,35,healthy,0.0,26.95,57.42,5.25,6.12,0.0
plant-63,5,42,late_blight,0.413,34.96,50.59,27.21,7.21,0.542
plant-64,14,48,late_blight,0.621,31.91,63.1,25.46,7.63,0.858
plant-65,0,42,healthy,0.0,24.27,38.58,67.08,5.54,0.0
plant-66,17,24,healthy,0.0,36.17,45.27,67.39,5.83,0.0
plant-67,22,2,healthy,0.0,32.54,66.83,7.74,7.75,0.0
plant-68,11,7,mold,0.325,19.89,54.02,27.43,6.9,0.353
plant-69,40,30,healthy,0.0,34.12,32.11,54.3,5.83,0.0
plant-70,7,4,early_blight,0.688,21.13,38.16,50.09,5.91,0.688
plant-71,9,24,healthy,0.0,35.74,42.6,12.7,6.23,0.0
plant-72,22,13,healthy,0.0,31.52,73.89,23.09,6.46,0.0
plant-73,19,29,healthy,0.0,28.56,76.07,39.74,7.15,0.0
plant-74,46,44,healthy,0.0,27.67,89.9,63.05,7.33,0.0
plant-75,7,19,healthy,0.0,36.82,62.7,47.98,7.83,0.0
plant-76,36,10,healthy,0.0,24.24,58.08,13.24,6.71,0.0
plant-77,28,10,healthy,0.0,23.59,41.86,46.38,7.69,0.0
plant-78,43,40,early_blight,0.329,36.12,78.58,68.27,7.34,0.329
plant-79,49,25,healthy,0.0,20.52,83.25,38.24,6.41,0.0
plant-80,39,10,mold,0.522,23.2,63.24,30.42,5.6,0.522
plant-81,9,25,healthy,0.0,19.31,62.66,30.27,7.4,0.0
plant-82,5,17,healthy,0.0,17.36,34.65,59.76,6.67,0.0
plant-83,37,35,healthy,0.0,31.33,52.75,16.63,6.15,0.0
plant-84,5,30,late_blight,0.332,21.37,89.88,42.05,5.53,0.398
plant-85,8,10,mold,0.705,30.11,62.28,18.96,7.48,0.964
plant-86,49,12,healthy,0.0,23.93,79.36,8.7,5.9,0.0
plant-87,42,39,early_blight,0.607,18.79,88.7,12.64,7.31,0.958
plant-88,9,2,healthy,0.0,15.2,40.64,68.63,7.67,0.0
plant-89,25,24,healthy,0.0,24.31,52.12,55.88,7.34,0.0
plant-90,8,17,healthy,0.0,32.03,48.56,29.41,7.09,0.0
plant-91,21,43,healthy,0.0,37.46,82.84,55.46,6.12,0.0
plant-92,25,8,early_blight,0.632,17.44,88.11,68.24,7.28,0.632
plant-93,18,46,healthy,0.0,29.17,45.77,18.27,7.88,0.0
plant-94,46,30,healthy,0.0,18.94,30.78,52.06,6.11,0.0
plant-95,46,45,healthy,0.0,36.54,66.23,33.63,7.13,0.0
plant-96,18,20,healthy,0.0,30.73,75.39,30.86,7.32,0.0
plant-97,18,0,healthy,0.0,36.02,86.04,7.09,5.73,0.0
plant-98,0,8,late_blight,0.669,15.49,57.0,19.98,5.81,1.0
plant-99,4,33,nutrient_deficiency,0.389,16.46,42.92,59.64,6.44,0.35
plant-100,47,20,healthy,0.0,28.36,57.97,32.68,6.86,0.0
plant-101,0,32,late_blight,0.25,20.74,63.98,29.25,5.66,0.308
plant-102,0,11,mold,0.865,16.49,94.78,48.92,5.56,0.865
plant-103,28,30,nutrient_deficiency,0.416,20.42,56.0,55.31,7.3,0.374
plant-104,18,21,healthy,0.0,27.01,43.14,44.68,7.62,0.0
plant-105,46,25,healthy,0.0,35.33,59.79,27.65,6.4,0.0
plant-106,29,43,healthy,0.0,23.58,77.1,66.47,7.79,0.0
plant-107,28,45,mold,0.641,21.37,41.52,61.58,7.93,0.641
plant-108,20,29,mold,0.325,26.57,79.2,10.4,7.08,0.537
plant-109,2,40,late_blight,0.363,32.99,42.44,7.16,7.48,0.767
plant-110,3,23,early_blight,0.826,22.1,36.11,40.88,7.22,0.826
plant-111,27,4,nutrient_deficiency,0.805,18.26,50.67,52.21,5.84,0.725
plant-112,22,48,healthy,0.0,24.39,93.18,55.78,7.75,0.0
plant-113,7,36,healthy,0.0,28.52,78.65,46.36,6.91,0.0
plant-114,27,24,healthy,0.0,25.96,91.95,15.18,7.28,0.0
plant-115,44,46,healthy,0.0,28.3,47.38,23.42,5.69,0.0
plant-116,22,21,healthy,0.0,29.75,59.41,58.1,7.84,0.0
plant-117,2,10,mold,0.498,30.85,30.94,17.08,6.15,0.713
plant-118,36,29,healthy,0.0,27.68,45.9,26.93,6.58,0.0
plant-119,28,4,healthy,0.0,18.46,32.26,33.25,5.71,0.0
plant-120,33,19,healthy,0.0,23.41,88.13,32.23,6.93,0.0
plant-121,48,44,healthy,0.0,25.07,94.81,59.43,6.23,0.0
plant-122,21,27,healthy,0.0,27.13,42.84,49.0,7.7,0.0
plant-123,17,46,healthy,0.0,21.36,88.98,49.89,7.01,0.0
plant-124,43,20,healthy,0.0,34.57,86.38,41.21,7.27,0.0
plant-125,22,30,healthy,0.0,36.99,89.21,15.05,5.92,0.0
plant-126,2,36,healthy,0.0,27.09,65.07,11.89,6.52,0.0
plant-127,18,9,early_blight,0.355,21.96,56.7,34.39,6.93,0.355
plant-128,47,5,early_blight,0.312,19.96,92.71,41.25,6.06,0.312
plant-129,39,14,healthy,0.0,16.27,69.37,30.55,7.41,0.0
plant-130,23,16,healthy,0.0,26.6,73.67,12.76,5.7,0.0
plant-131,44,26,healthy,0.0,26.16,44.74,66.74,7.42,0.0
plant-132,4,16,healthy,0.0,23.21,54.28,55.16,6.08,0.0
plant-133,17,32,healthy,0.0,29.33,90.93,66.49,6.27,0.0
plant-134,9,41,healthy,0.0,32.98,61.5,58.54,6.66,0.0
plant-135,33,12,healthy,0.0,36.5,49.17,11.02,7.8,0.0
plant-136,7,28,mold,0.237,15.41,84.3,68.33,6.88,0.237
plant-137,2,1,healthy,0.0,19.48,90.65,27.34,6.72,0.0
plant-138,26,24,healthy,0.0,22.53,74.95,10.25,5.66,0.0
plant-139,11,19,healthy,0.0,29.9,36.24,27.14,7.78,0.0
plant-140,49,21,healthy,0.0,15.25,81.33,29.11,6.68,0.0
plant-141,22,11,healthy,0.0,24.46,56.09,27.86,6.69,0.0
plant-142,29,36,healthy,0.0,15.98,39.35,20.27,5.52,0.0
plant-143,44,13,healthy,0.0,20.07,78.25,38.88,7.32,0.0
plant-144,46,11,healthy,0.0,35.03,61.97,50.51,5.8,0.0
plant-145,19,43,healthy,0.0,35.8,62.61,19.68,6.41,0.0
plant-146,18,14,healthy,0.0,25.55,50.86,33.74,7.0,0.0
plant-147,10,21,early_blight,0.558,31.64,49.12,66.56,7.43,0.558
plant-148,38,24,healthy,0.0,28.26,42.78,21.01,7.02,0.0
plant-149,0,24,healthy,0.0,37.71,48.64,31.26,6.51,0.0
plant-150,1,23,mold,0.883,27.36,30.68,22.25,6.57,1.0
plant-151,3,21,mold,0.893,19.44,90.76,68.09,6.47,0.893
plant-152,11,2,healthy,0.0,28.45,79.74,58.87,7.74,0.0
plant-153,42,26,late_blight,0.754,30.8,44.38,64.86,7.44,0.905
plant-154,28,12,healthy,0.0,30.79,54.45,18.08,6.16,0.0
plant-155,8,6,healthy,0.0,28.51,70.13,14.81,6.35,0.0
plant-156,43,2,healthy,0.0,19.64,34.25,9.92,6.45,0.0
plant-157,30,7,healthy,0.0,33.55,77.39,58.95,6.02,0.0
plant-158,42,44,healthy,0.0,20.31,40.13,17.05,6.18,0.0
plant-159,25,22,early_blight,0.269,31.05,86.68,51.39,6.37,0.269
plant-160,9,31,healthy,0.0,21.67,54.77,36.5,7.75,0.0
plant-161,36,12,healthy,0.0,29.06,86.2,21.87,7.86,0.0
plant-162,20,46,healthy,0.0,29.63,87.31,37.73,6.87,0.0
plant-163,47,15,healthy,0.0,27.27,82.61,12.14,7.82,0.0
plant-164,8,32,healthy,0.0,16.72,87.27,68.89,7.8,0.0
plant-165,2,48,healthy,0.0,35.16,45.09,49.2,7.16,0.0
plant-166,44,37,early_blight,0.281,27.51,76.3,21.23,5.63,0.363
plant-167,34,35,late_blight,0.453,18.71,58.39,41.38,6.48,0.544
plant-168,7,8,healthy,0.0,36.52,51.8,25.34,7.13,0.0
plant-169,2,5,mold,0.93,22.61,93.66,38.14,7.96,0.93
plant-170,5,4,healthy,0.0,26.99,59.55,40.76,6.84,0.0
plant-171,42,15,healthy,0.0,36.5,90.91,31.89,7.36,0.0
plant-172,41,19,healthy,0.0,29.02,38.97,54.04,6.93,0.0
plant-173,23,23,mold,0.325,30.97,34.47,60.03,7.4,0.325
plant-174,12,3,healthy,0.0,20.5,72.11,37.09,7.73,0.0
plant-175,26,47,healthy,0.0,36.03,36.88,55.75,5.51,0.0
plant-176,18,40,healthy,0.0,28.81,44.25,36.13,7.17,0.0
plant-177,7,29,healthy,0.0,32.38,51.53,11.72,7.87,0.0
plant-178,38,41,healthy,0.0,26.35,64.35,37.47,6.95,0.0
plant-179,29,27,mold,0.605,24.99,88.37,43.2,6.51,0.605
plant-180,14,40,healthy,0.0,36.5,75.97,6.19,7.84,0.0
plant-181,46,30,early_blight,0.764,31.1,35.32,44.81,5.95,0.764
plant-182,16,22,healthy,0.0,35.72,58.45,41.5,5.82,0.0
plant-183,20,24,early_blight,0.941,18.01,63.47,17.53,6.41,1.0
plant-184,40,29,nutrient_deficiency,0.65,22.3,53.39,13.14,6.87,0.914
plant-185,35,41,healthy,0.0,26.69,34.28,50.87,7.15,0.0
plant-186,44,41,healthy,0.0,26.59,67.57,53.66,6.68,0.0
plant-187,13,16,healthy,0.0,35.2,82.35,56.06,6.82,0.0
plant-188,14,26,healthy,0.0,16.17,35.36,37.71,7.36,0.0
plant-189,40,43,healthy,0.0,29.29,85.48,5.19,7.18,0.0
plant-190,42,7,nutrient_deficiency,0.913,25.81,37.27,18.55,7.88,1.0
plant-191,45,16,nutrient_deficiency,0.614,23.95,80.78,34.95,6.04,0.553
plant-192,12,3,healthy,0.0,34.94,39.15,19.76,7.44,0.0
plant-193,7,46,healthy,0.0,30.55,83.4,11.19,7.34,0.0
plant-194,37,8,healthy,0.0,16.42,30.48,46.19,7.07,0.0
plant-195,9,6,healthy,0.0,23.9,83.55,30.23,5.83,0.0
plant-196,44,6,healthy,0.0,37.05,54.7,24.53,6.76,0.0
plant-197,4,1,healthy,0.0,22.87,39.19,22.49,6.53,0.0
plant-198,21,41,healthy,0.0,24.59,33.66,49.12,5.76,0.0
plant-199,40,32,mold,0.343,19.38,71.66,43.29,6.8,0.343
plant-200,21,6,mold,0.457,32.64,82.63,35.44,7.52,0.457
plant-201,25,44,healthy,0.0,35.18,82.03,39.23,5.51,0.0
plant-202,18,38,healthy,0.0,33.26,94.69,43.28,5.87,0.0
plant-203,11,42,healthy,0.0,20.23,31.4,20.94,5.62,0.0
plant-204,26,23,healthy,0.0,32.93,37.86,41.99,6.43,0.0
plant-205,49,22,healthy,0.0,31.03,92.73,51.56,7.15,0.0
plant-206,28,31,healthy,0.0,27.89,62.76,12.38,6.28,0.0
plant-207,5,18,early_blight,0.74,22.3,42.5,19.53,5.51,0.998
plant-208,5,45,healthy,0.0,21.79,60.14,45.41,6.16,0.0
plant-209,4,26,healthy,0.0,19.89,54.78,25.76,6.65,0.0
plant-210,30,49,healthy,0.0,31.68,61.0,49.07,7.38,0.0
plant-211,49,45,healthy,0.0,32.77,50.97,38.94,5.96,0.0
plant-212,20,33,healthy,0.0,30.97,50.15,47.51,7.08,0.0
plant-213,0,31,early_blight,0.622,20.8,35.94,15.9,7.29,0.914
plant-214,43,42,healthy,0.0,36.16,45.09,25.43,7.75,0.0
plant-215,41,26,nutrient_deficiency,0.594,30.38,93.0,37.77,6.95,0.535
plant-216,48,18,late_blight,0.212,23.44,87.06,13.21,7.02,0.397
plant-217,6,40,healthy,0.0,32.53,43.31,11.25,7.96,0.0
plant-218,23,13,healthy,0.0,37.06,63.57,31.04,6.23,0.0
plant-219,4,24,healthy,0.0,35.19,39.08,53.89,6.38,0.0
plant-220,32,13,healthy,0.0,37.0,48.19,27.9,7.44,0.0
plant-221,28,8,healthy,0.0,31.67,80.75,65.67,6.23,0.0
plant-222,28,9,healthy,0.0,28.9,44.34,31.98,7.69,0.0
plant-223,46,33,healthy,0.0,30.34,31.52,43.69,6.66,0.0
plant-224,45,43,healthy,0.0,22.91,44.42,43.6,6.61,0.0
plant-225,16,9,mold,0.305,23.15,93.27,67.76,7.93,0.305
plant-226,20,35,healthy,0.0,23.2,61.19,38.44,6.43,0.0
plant-227,6,10,healthy,0.0,26.76,37.58,36.47,7.05,0.0
plant-228,46,23,healthy,0.0,16.63,65.47,55.83,7.85,0.0
plant-229,36,39,healthy,0.0,32.11,42.84,26.17,7.57,0.0
plant-230,25,35,healthy,0.0,24.21,94.13,25.68,6.72,0.0
plant-231,0,12,healthy,0.0,22.76,61.35,69.09,6.79,0.0
plant-232,49,0,healthy,0.0,22.19,80.89,32.31,6.41,0.0
plant-233,24,19,healthy,0.0,20.15,84.47,34.75,5.75,0.0
plant-234,37,32,healthy,0.0,21.77,70.18,62.52,7.9,0.0
plant-235,13,31,healthy,0.0,16.45,39.75,49.05,7.53,0.0
plant-236,21,22,healthy,0.0,29.61,56.86,41.84,7.34,0.0
plant-237,26,8,early_blight,0.633,37.56,48.82,13.84,7.49,0.974
plant-238,41,46,healthy,0.0,18.05,69.71,51.18,5.52,0.0
plant-239,26,22,healthy,0.0,15.04,84.09,65.68,7.78,0.0
plant-240,3,32,healthy,0.0,24.92,54.77,8.23,5.83,0.0
plant-241,31,29,healthy,0.0,27.58,89.36,21.17,5.68,0.0
plant-242,32,17,nutrient_deficiency,0.841,18.85,31.77,43.02,5.54,0.757
plant-243,19,15,healthy,0.0,15.88,82.89,18.8,5.52,0.0
plant-244,14,37,healthy,0.0,28.84,45.86,35.15,7.15,0.0
plant-245,25,35,late_blight,0.786,27.21,73.9,65.4,5.87,0.943
plant-246,31,29,healthy,0.0,30.89,49.18,66.34,7.34,0.0
plant-247,22,24,healthy,0.0,21.45,66.0,56.99,7.91,0.0
plant-248,28,41,healthy,0.0,24.49,45.48,42.91,7.97,0.0
plant-249,23,8,healthy,0.0,21.79,48.96,39.44,6.35,0.0
plant-250,2,4,healthy,0.0,34.37,49.15,27.72,6.6,0.0
plant-251,23,42,healthy,0.0,32.23,47.46,48.06,6.48,0.0
plant-252,7,15,nutrient_deficiency,0.404,18.5,80.97,18.2,7.41,0.507
plant-253,47,29,healthy,0.0,15.27,67.78,67.46,5.59,0.0
plant-254,10,36,mold,0.699,36.83,64.29,68.17,7.74,0.699
plant-255,31,43,healthy,0.0,17.82,50.91,68.57,6.03,0.0
plant-256,24,40,healthy,0.0,31.88,57.33,17.04,7.96,0.0
plant-257,39,39,healthy,0.0,23.37,50.95,44.76,7.04,0.0
plant-258,38,39,late_blight,0.678,26.08,41.81,16.68,6.49,1.0
plant-259,42,43,mold,0.49,24.86,33.65,25.73,5.83,0.56
plant-260,9,35,nutrient_deficiency,0.441,18.83,45.85,64.04,6.27,0.397
plant-261,18,41,mold,0.979,32.29,84.12,51.87,7.64,0.979
plant-262,17,27,healthy,0.0,20.37,36.75,65.41,6.12,0.0
plant-263,47,33,healthy,0.0,26.48,51.45,29.78,7.74,0.0
plant-264,45,17,late_blight,0.858,29.75,33.24,54.45,5.85,1.0
plant-265,24,34,healthy,0.0,22.57,34.21,48.95,6.59,0.0
plant-266,5,23,healthy,0.0,31.1,34.41,36.87,6.38,0.0
plant-267,39,19,healthy,0.0,25.69,36.29,28.22,7.29,0.0
plant-268,19,20,healthy,0.0,31.99,81.82,34.4,5.84,0.0
plant-269,26,27,late_blight,0.279,19.1,90.09,66.16,6.26,0.335
plant-270,2,15,healthy,0.0,24.27,35.3,50.59,6.65,0.0
plant-271,46,37,healthy,0.0,34.09,35.56,16.64,6.04,0.0
plant-272,14,16,nutrient_deficiency,0.879,25.59,55.15,48.82,7.37,0.791
plant-273,28,3,healthy,0.0,32.94,77.93,57.49,5.65,0.0
plant-274,49,15,early_blight,0.463,25.39,65.11,30.57,6.27,0.463
plant-275,3,22,healthy,0.0,21.68,56.37,63.28,7.23,0.0
plant-276,25,30,mold,0.946,33.08,77.04,54.04,6.11,0.946
plant-277,0,43,healthy,0.0,34.71,90.27,48.03,6.5,0.0
plant-278,42,15,mold,0.475,31.97,39.34,58.41,7.41,0.475
plant-279,32,9,healthy,0.0,37.44,94.0,45.36,6.34,0.0
plant-280,44,27,healthy,0.0,15.93,81.66,26.37,7.73,0.0
plant-281,31,0,healthy,0.0,32.66,89.12,43.23,5.96,0.0
plant-282,44,35,early_blight,0.435,22.09,61.22,45.47,7.89,0.435
plant-283,23,9,late_blight,0.486,28.7,82.69,24.36,7.96,0.693
plant-284,28,0,healthy,0.0,19.08,48.74,31.24,6.98,0.0
plant-285,35,18,late_blight,0.9,33.27,36.31,23.63,7.45,1.0
plant-286,31,34,mold,0.72,31.07,74.57,47.71,7.91,0.72
plant-287,47,45,healthy,0.0,18.4,60.57,67.2,5.71,0.0
plant-288,7,48,healthy,0.0,35.93,90.21,5.03,6.56,0.0
plant-289,21,11,healthy,0.0,20.15,81.89,57.95,6.12,0.0
plant-290,22,13,healthy,0.0,30.49,49.55,54.15,5.86,0.0
plant-291,8,11,healthy,0.0,25.71,33.94,45.64,5.79,0.0
plant-292,9,23,early_blight,0.444,34.82,67.6,38.2,5.83,0.444
plant-293,9,49,healthy,0.0,24.4,93.6,16.2,7.48,0.0
plant-294,38,25,healthy,0.0,15.08,91.76,17.68,7.75,0.0
plant-295,48,31,healthy,0.0,34.65,38.61,35.48,7.45,0.0
plant-296,42,45,healthy,0.0,28.41,43.64,9.21,5.57,0.0
plant-297,17,12,early_blight,0.247,21.61,39.44,26.35,7.44,0.277
plant-298,20,21,healthy,0.0,36.25,33.4,32.47,5.82,0.0
plant-299,4,26,healthy,0.0,37.67,81.14,12.45,6.2,0.0
plant-300,44,9,mold,0.75,33.16,43.76,33.59,6.67,0.75
plant-301,26,32,healthy,0.0,27.04,66.02,30.85,5.66,0.0
plant-302,4,46,healthy,0.0,28.44,38.54,12.48,6.29,0.0
plant-303,14,40,healthy,0.0,31.15,82.05,68.09,6.81,0.0
plant-304,38,28,healthy,0.0,24.75,59.27,49.02,6.19,0.0
plant-305,14,4,nutrient_deficiency,0.35,20.37,51.71,68.07,5.95,0.315
plant-306,20,12,healthy,0.0,36.77,39.44,21.2,7.11,0.0
plant-307,30,11,healthy,0.0,19.88,43.05,24.35,5.75,0.0
plant-308,1,3,late_blight,0.875,32.38,63.2,53.84,5.74,1.0
plant-309,2,17,healthy,0.0,15.39,55.81,25.35,5.69,0.0
plant-310,44,34,mold,0.981,24.78,57.64,43.26,6.69,0.981
plant-311,0,3,healthy,0.0,20.43,41.81,15.61,7.24,0.0
plant-312,21,6,mold,0.779,33.41,30.88,35.33,6.08,0.779
plant-313,44,42,early_blight,0.903,37.85,34.11,9.98,7.13,1.0
plant-314,18,36,healthy,0.0,33.35,81.28,39.0,7.04,0.0
plant-315,44,46,healthy,0.0,28.04,74.7,64.46,6.32,0.0
plant-316,24,36,early_blight,0.439,35.78,53.4,52.81,6.78,0.439
plant-317,38,3,healthy,0.0,15.85,90.11,54.76,6.14,0.0
plant-318,41,32,mold,0.206,18.64,32.2,64.56,6.73,0.206
plant-319,21,42,healthy,0.0,20.08,75.79,65.9,6.96,0.0
plant-320,5,12,healthy,0.0,18.48,90.25,23.5,5.96,0.0
plant-321,48,32,mold,0.535,26.98,33.89,21.59,5.83,0.685
plant-322,28,10,mold,0.253,16.24,46.14,61.32,6.33,0.253
plant-323,0,36,healthy,0.0,17.83,86.81,68.37,7.14,0.0
plant-324,12,11,nutrient_deficiency,0.291,29.0,88.19,32.99,6.82,0.262
plant-325,8,28,late_blight,0.344,22.6,66.68,34.48,5.52,0.413
plant-326,32,15,healthy,0.0,26.12,58.07,58.91,7.21,0.0
plant-327,46,41,early_blight,0.339,25.93,85.07,22.82,7.33,0.42
plant-328,34,4,mold,0.68,27.81,39.68,10.58,7.33,1.0
plant-329,29,47,mold,0.817,34.85,80.12,58.81,6.09,0.817
plant-330,46,39,healthy,0.0,19.25,93.19,10.48,6.85,0.0
plant-331,25,28,healthy,0.0,23.2,54.98,55.35,7.82,0.0
plant-332,38,48,healthy,0.0,16.39,42.01,47.64,6.77,0.0
plant-333,12,43,healthy,0.0,37.76,86.97,69.26,7.33,0.0
plant-334,12,11,late_blight,0.917,33.76,63.7,27.2,7.56,1.0
plant-335,12,37,mold,0.885,29.02,42.98,55.44,7.22,0.885
plant-336,29,33,healthy,0.0,29.16,78.77,10.68,7.38,0.0
plant-337,36,26,healthy,0.0,21.29,84.27,10.4,5.98,0.0
plant-338,44,47,healthy,0.0,27.54,70.51,21.17,7.0,0.0
plant-339,35,27,healthy,0.0,37.08,79.85,31.43,6.48,0.0
plant-340,17,24,healthy,0.0,31.31,41.62,35.33,7.91,0.0
plant-341,27,5,healthy,0.0,25.92,94.12,29.6,6.4,0.0
plant-342,21,26,early_blight,0.892,24.21,56.81,58.23,5.75,0.892
plant-343,2,25,mold,0.857,22.76,47.53,45.52,7.31,0.857
plant-344,3,35,healthy,0.0,17.27,68.54,22.44,7.81,0.0
plant-345,40,11,early_blight,0.765,35.24,71.49,36.54,7.1,0.765
plant-346,29,34,healthy,0.0,27.99,56.09,5.51,6.42,0.0
plant-347,37,34,healthy,0.0,15.68,59.16,9.33,5.67,0.0
plant-348,26,38,early_blight,0.902,34.62,60.75,45.17,5.79,0.902
plant-349,11,14,nutrient_deficiency,0.314,35.28,63.52,44.09,7.72,0.283
plant-350,41,33,healthy,0.0,23.21,47.96,61.69,5.56,0.0
plant-351,30,26,late_blight,0.269,30.5,32.38,24.67,7.65,0.38
plant-352,44,9,healthy,0.0,17.56,34.38,18.12,6.39,0.0
plant-353,49,34,healthy,0.0,34.49,82.14,26.93,7.85,0.0
plant-354,42,16,healthy,0.0,17.83,77.11,19.22,5.97,0.0
plant-355,48,1,nutrient_deficiency,0.575,30.26,67.99,43.62,5.73,0.517
plant-356,38,30,healthy,0.0,27.93,86.55,31.73,6.59,0.0
plant-357,45,40,early_blight,0.761,16.49,77.51,17.86,6.27,1.0
plant-358,36,35,healthy,0.0,21.18,69.59,63.88,5.99,0.0
plant-359,17,26,healthy,0.0,24.92,61.96,15.95,6.36,0.0
plant-360,16,22,healthy,0.0,33.56,90.55,48.32,7.03,0.0
plant-361,27,45,late_blight,0.71,18.08,55.62,39.28,7.54,0.852
plant-362,48,33,healthy,0.0,17.94,30.12,30.41,6.33,0.0
plant-363,18,30,healthy,0.0,20.64,35.59,65.42,7.48,0.0
plant-364,20,49,early_blight,0.954,35.95,79.94,30.08,7.56,0.954
plant-365,35,49,healthy,0.0,23.42,93.27,66.2,6.91,0.0
plant-366,5,6,healthy,0.0,22.19,66.21,26.05,6.93,0.0
plant-367,33,14,healthy,0.0,17.0,83.9,41.45,7.65,0.0
plant-368,26,32,healthy,0.0,20.87,61.02,25.04,7.46,0.0
plant-369,37,6,late_blight,0.655,26.81,63.1,28.51,6.89,0.825
plant-370,9,6,healthy,0.0,24.32,62.07,32.81,7.24,0.0
plant-371,33,0,healthy,0.0,18.11,57.2,66.26,5.98,0.0
plant-372,45,10,healthy,0.0,33.57,42.48,60.75,7.75,0.0
